experiment_id,path,title,status,honest_verdict,headline_fields,gate_fields,retirement_fields,key_metric_fields,classification,reason
1000,results/experiment_1000_preflight_v28.json,Preflight v28 - Schema Repair + Exclusion Manifest Verification,success,preflight_complete,,gate_schema_repaired=true,,,SIGNAL,"completed artifact records positive, verified, or closed evidence"
1001,results/experiment_1001_sc_energy_tier2_v4.json,SC-Energy Tier 2 v4 — Verify 0 Test Failures + Wire as Production OOD Detector,success,tier2_deployed,,"prior_blockers.exp976_gate_failure=Same root cause as exp988; prior_blockers.exp988_gate_failure=Resolved by exp1000 preflight which patched exp987 artifact field name mismatch (env_propagation_persistent was null, now true)",,,SIGNAL,"completed artifact records positive, verified, or closed evidence"
1002,results/experiment_1002_dualgpu_pipeline_v5.json,DualGPU Pipeline v5 — Production Wiring with Fresh Timestamped Throughput Result,success,wired_synthetic_only,,,,cuda_device_count=0,SIGNAL,"completed artifact records positive, verified, or closed evidence"
1003,results/experiment_1003_spilled_energy_live_gpu_v4.json,SpilledEnergy Live GPU v4,success,live_below_threshold,,,,nup_probe_live_auroc=0.6111; nup_score_mean=0.2794; spill_score_mean=0.464; spilled_energy_live_auroc=0.5,NOISE,"merit-gate negative, no-improvement, regression, or no-headline evidence"
1005,results/experiment_1005_ppsebm_live_relay_v3.json,PPSEBM Live GPU Relay v3 — FR-11 Cross-Session Memory on Real Violations,blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=1 of 1 gate(s) failed; first failure: exp1003-spilled-energy-live-gpu-v4.n_live_violations_collected (actual=9 >= expected=10); gates_evaluated=list[1],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
1006,results/experiment_1006_energy_selection_ssd.json,Energy-Selection SSD — FR-11 Self-Distillation Using Energy Filter (Continuous Self-Learning),blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=4 prior failure(s) match this task's scope but prior_failures field is missing or incomplete: no prior_failures field on task; gates_evaluated=list[4],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
1007,results/experiment_1007_thinkprm_step_verifier.json,ThinkPRM Step Verifier — CoT-Reasoning Probe Trained on FoVer Corpus (arXiv 2504.16828),blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=7 prior failure(s) match this task's scope but prior_failures field is missing or incomplete: no prior_failures field on task; gates_evaluated=list[7],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
1008,results/experiment_1008_vprm_rule_based_step_verifier.json,VPRM Rule-Based Step Verifier v2 — Extended to 6+ Rule Families (arXiv 2601.17223),blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=7 prior failure(s) match this task's scope but prior_failures field is missing or incomplete: no prior_failures field on task; gates_evaluated=list[7],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
1011,results/experiment_1011_almc_ode_annealed_sampler.json,ALMC-ODE Annealed Sampler — Multimodal Energy Landscape Convergence (arXiv 2604.20052),blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=1 prior failure(s) match this task's scope but prior_failures field is missing or incomplete: no prior_failures field on task; gates_evaluated=list[1],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
1014,results/experiment_1014_triple_integration_v5.json,Triple Integration E2E v5 — SC-Energy + SpilledEnergy + ThinkPRM Cascade (Post Pre-Test Fix),blocked,blocked_gate_check_failed,,blocked_at_layer=conductor_pre_gate; gate_check_summary=1 of 1 gate(s) failed; first failure: exp1013-preflight-v29.gate_schema_v79 (upstream artifact not found for task id 'exp1013-preflight-v...; gates_evaluated=list[1],,,AMBIGUOUS,"environmental or upstream blocker, not scientific noise"
